disease,ayurvedic_herbs,formulation,duration_of_treatment,diet_and_lifestyle_recommendations,yoga__physical_therapy,environmental_factors,patient_recommendations
Atopic Dermatitis,"Neem, Turmeric",Neem leaves (5-6),Lifelong,"Avoid spicy foods, drink plenty of water, use moisturizing oils.","Topical Treatment, Stress Management","Allergens, Dry environments","Regular Moisturizing, Avoid Triggers"
Autoimmune Hepatitis,None specific,Turmeric (1 tsp daily),Lifelong,"Avoid alcohol, consume liver-supporting foods like bitter greens.",None specific,"Viral infections, Genetic factors","Regular Monitoring, Treat Infections"
Bacterial Infections,None specific,Garlic (2-3 cloves daily),1-2 weeks,"Maintain good hygiene, eat immune-boosting foods like ginger and turmeric.",None specific,Close contact with infected people,"Regular Hygiene, Avoid Contact"
Bipolar Disorder,"Ashwagandha, Brahmi",Ashwagandha (5g),Lifelong,"Regular sleep patterns, manage stress with yoga and meditation.","Cognitive Therapy, Stress Management","Stress, Lack of sleep","Regular Therapy, Medication Adherence"
Bladder Cancer,None specific,Cranberry (200ml daily),6-12 months,"Drink plenty of water, avoid bladder irritants like caffeine and alcohol.",None specific,"Smoking, Chronic urinary infections","Regular Monitoring, Healthy Diet"
Brain Tumors,None specific,Turmeric (1 tsp daily),6-12 months,Consume anti-inflammatory foods like turmeric and omega-3s.,None specific,"Radiation, Genetic predisposition","Regular Monitoring, Healthy Lifestyle"
Bronchiectasis,None specific,Licorice root (2g daily),Lifelong,"Practice breathing exercises, stay hydrated, and avoid cold air.",Pulmonary Rehabilitation,"Respiratory infections, Air pollution","Regular Monitoring, Pulmonary Rehab"
Candidiasis,"Neem, Turmeric",Coconut oil (1-2 tbsp daily),1-4 weeks,"Avoid sugar, consume probiotic-rich foods like yogurt.",None specific,"Fungal infections, Antibiotic use","Regular Hygiene, Treat Underlying Conditions"
Celiac Disease,None specific,Avoid gluten-containing foods,Lifelong,"Follow a strict gluten-free diet, eat easily digestible foods.",None specific,"Gluten, Genetic predisposition",Strict Gluten-Free Diet
Cerebral Palsy,None specific,Magnesium (250mg daily),Lifelong,"Engage in physical therapy, avoid processed foods, and practice gentle yoga.","Physical Therapy, Occupational Therapy","Premature birth, Birth trauma","Regular Monitoring, Physical Therapy"
Chronic Fatigue Syndrome,"Ashwagandha, Brahmi",Ashwagandha (5g daily),Lifelong,"Follow a balanced diet with protein and healthy fats, avoid overexertion.",Cognitive Behavioral Therapy,"Stress, Viral infections","Regular Exercise, Stress Management"
Chronic Sinusitis,None specific,Eucalyptus oil (2 drops in water),1-3 months,"Inhale steam with eucalyptus, avoid allergens, stay hydrated.",None specific,"Allergens, Air pollution","Regular Hygiene, Treat Infections"
Cirrhosis,None specific,Milk Thistle (200mg daily),Lifelong,"Avoid alcohol, eat liver-supporting foods like beets and bitter greens.",None specific,"Alcohol, Hepatitis","Regular Monitoring, Healthy Lifestyle"
Cleft Lip and Palate,None specific,Vitamin A (5000 IU daily),6-12 months,"Follow speech therapy, eat soft foods, and avoid harsh chemicals.","Speech Therapy, Physical Therapy","Genetic factors, Environmental triggers","Early Surgery, Speech Therapy"
Cold Sores,None specific,Lemon balm (5g daily),1-2 weeks,"Avoid stress, apply a cold compress to the affected area, eat antiviral foods.",None specific,"Stress, Exposure to cold","Regular Hygiene, Stress Management"
Colorectal Cancer,None specific,Aloe Vera (2 tbsp),6-12 months,"Increase fiber intake, avoid red and processed meats.",None specific,Diet high in processed food,"Regular Screening, Healthy Lifestyle"
Conjunctivitis,None specific,Chamomile (2g in warm water),1-2 weeks,"Practice good hygiene, avoid eye irritation, and wear sunglasses.",None specific,"Allergens, Viral infections","Regular Hygiene, Avoid Sharing Items"
COPD (Chronic Obstructive Pulmonary Disease),None specific,Oregano oil (3 drops in water),Lifelong,"Avoid smoking, stay in a smoke-free environment, and do breathing exercises.",Pulmonary Rehabilitation,"Smoking, Air pollution","Quit Smoking, Regular Monitoring"
Coronary Artery Disease,None specific,Garlic (2-3 cloves daily),Lifelong,Follow a heart-healthy diet with low sodium and high omega-3 foods.,Cardiac Rehabilitation,"Smoking, High-fat diet","Regular Exercise, Healthy Diet"
Crohn's Disease,None specific,Turmeric (1 tsp daily),Lifelong,"Eat small, frequent meals, avoid spicy and fatty foods.",None specific,"Stress, Genetic factors","Regular Monitoring, Stress Management"
Cystitis,None specific,Cranberry (200ml daily),1-2 weeks,"Drink plenty of water, avoid caffeine, and practice good hygiene.",None specific,"Bacterial infections, Sexual activity","Regular Hygiene, Hydration"
Depression,"Ashwagandha, Brahmi",Ashwagandha (5g daily),Varies,"Follow a healthy sleep routine, practice meditation, and consume omega-3s.",Cognitive Behavioral Therapy,"Stress, Genetic factors","Regular Therapy, Medication Adherence"
Dementia,"Brahmi, Ashwagandha",Brahmi (2g daily),Lifelong,"Engage in cognitive exercises, eat brain-boosting foods like walnuts and fish.","Cognitive Therapy, Supportive Care","Aging, Genetic factors","Regular Therapy, Supportive Care"
Diabetic Neuropathy,None specific,Fenugreek (3g daily),Lifelong,"Maintain stable blood sugar levels, avoid refined sugars, and include bitter foods.",None specific,"High blood sugar, Genetics",Regular Blood Sugar Control
Diverticulitis,None specific,Fennel (1 tsp in warm water),1-2 weeks,"Increase fiber intake, avoid processed foods, and drink plenty of water.",None specific,"Low-fiber diet, Aging","High-Fiber Diet, Avoiding Straining"
Dyslipidemia,None specific,Garlic (2-3 cloves daily),Lifelong,"Consume a heart-healthy diet rich in omega-3s, exercise regularly, and avoid trans fats.",None specific,"High-fat diet, Lack of exercise","Healthy Diet, Regular Exercise"
Ear Infections,None specific,Garlic (1-2 drops in ear),1-2 weeks,"Avoid water in the ears, maintain good ear hygiene, and avoid cold air.",None specific,"Allergens, Viral infections","Regular Hygiene, Treat Allergies"
Epilepsy,None specific,Ashwagandha (5g daily),Lifelong,"Maintain a regular sleep schedule, avoid triggers, and consume magnesium-rich foods.",None specific,"Head trauma, Stress","Medication Adherence, Safety Measures"
Erectile Dysfunction,None specific,Ashwagandha (5g daily),Lifelong,"Avoid excessive alcohol, manage stress, and consume zinc-rich foods like pumpkin seeds.",None specific,"Stress, High blood pressure","Healthy Lifestyle, Therapy"
Gallbladder Disease,None specific,Dandelion root (2g daily),Varies,"Avoid high-fat foods, consume bitter herbs, and practice stress management techniques.",None specific,"High-fat diet, Obesity","Healthy Diet, Regular Monitoring"
Gastroenteritis,None specific,Ginger (2g in warm water),1-2 weeks,"Stay hydrated, avoid dairy and greasy foods, and eat bland foods like rice and toast.",None specific,"Poor hygiene, Contaminated food","Hydration, Avoid Contaminated Food"
Gingivitis,None specific,Clove oil (2-3 drops),1-2 weeks,"Brush and floss regularly, use saltwater rinses, and avoid sugary foods.",None specific,"Smoking, Poor oral hygiene","Regular Brushing, Dental Checkups"
Glaucoma,None specific,Triphala (1 tsp at bedtime),Lifelong,"Regular eye check-ups, avoid excessive screen time, and consume anti-inflammatory foods.",None specific,"High eye pressure, Age","Regular Monitoring, Medication Adherence"
Goiter,"Ashwagandha, Guggulu",Kelp (2-3g daily),Lifelong,"Ensure adequate iodine intake, avoid stress, and include sea vegetables in the diet.",None specific,"Iodine deficiency, Autoimmune diseases","Regular Monitoring, Healthy Diet"
Gout,None specific,Cherry juice (200ml daily),1-2 weeks,"Avoid alcohol and purine-rich foods, maintain a healthy weight, and drink plenty of water.",None specific,"Alcohol, High purine diet","Regular Medication, Avoid Triggers"
Graves' Disease,None specific,Ashwagandha (5g daily),Lifelong,"Avoid stress, reduce stimulants like caffeine, and maintain a balanced diet rich in vitamins.",None specific,"Autoimmune, Stress","Regular Monitoring, Medication Adherence"
Hepatitis,None specific,Milk thistle (200mg daily),Lifelong,"Avoid alcohol, follow a liver-supporting diet rich in leafy greens and antioxidants.",None specific,"Alcohol, Viral infection","Regular Monitoring, Healthy Diet"
Herpes Simplex Virus (HSV),None specific,Aloe vera gel (topically),Lifelong,"Apply Aloe Vera gel, manage stress, and avoid acidic foods like citrus.",None specific,"Stress, Immune deficiency","Regular Hygiene, Stress Management"
Hidradenitis Suppurativa,None specific,Turmeric (1 tsp in warm water),Lifelong,"Practice good hygiene, avoid tight clothing, and eat anti-inflammatory foods like turmeric.",None specific,"Obesity, Smoking","Regular Hygiene, Avoid Friction"
Hodgkin's Lymphoma,"Ashwagandha, Turmeric",Turmeric (1 tsp daily),Months to Years,"Follow cancer treatment, maintain a healthy immune system with a nutrient-rich diet.","Supportive Care, Physical Activity","Cancer treatment, Family history","Regular Monitoring, Supportive Care"
Hyperlipidemia,None specific,Garlic (2-3 cloves daily),Lifelong,"Consume healthy fats like omega-3s, avoid fried foods, and exercise regularly.",None specific,"High-fat diet, Lack of exercise","Healthy Diet, Regular Exercise"
Hypothyroidism,"Ashwagandha, Guggulu",Ashwagandha (5g daily),Lifelong,"Consume iodine-rich foods like seaweed, avoid processed foods, and exercise regularly.",None specific,"Autoimmune, Iodine deficiency","Regular Monitoring, Medication Adherence"
Irritable Bowel Syndrome (IBS),None specific,Peppermint (2 drops in water),Lifelong,"Follow a low FODMAP diet, avoid trigger foods, and manage stress with yoga.",None specific,"Stress, Poor diet","Regular Meals, Stress Management"
Kidney Stones,None specific,Lemon juice (1 tbsp in water),Varies (days to weeks),"Stay hydrated, avoid excessive calcium and oxalate-rich foods, and increase citrus intake.",None specific,"Dehydration, High calcium intake","Regular Hydration, Dietary Changes"
Lupus,"Ashwagandha, Turmeric",Turmeric (1 tsp daily),Lifelong,"Avoid sun exposure, eat anti-inflammatory foods, and practice regular exercise.","Stress Management, Regular Exercise","Autoimmune, Sun exposure","Regular Monitoring, Avoid Sun Exposure"
Lymphadenopathy,None specific,Turmeric (1 tsp daily),Varies (days to months),"Consume anti-inflammatory foods like turmeric, avoid processed foods, and manage stress.",None specific,"Infections, Immune disorders","Regular Monitoring, Treatment of Underlying Condition"
Meniere's Disease,None specific,Brahmi (2g daily),Lifelong,"Avoid loud noises, reduce salt intake, and practice relaxation techniques like yoga.","Balance Exercises, Stress Management","Stress, Viral infections","Avoid Triggers, Regular Monitoring"
Menstrual Disorders,None specific,Ashoka bark (1 tsp in water),Varies (days to months),"Maintain a balanced diet, manage stress, and practice gentle exercise like walking.","Stress Management, Relaxation Techniques","Stress, Hormonal changes","Regular Monitoring, Healthy Lifestyle"
Multiple Myeloma,None specific,Turmeric (1 tsp daily),Lifelong,"Follow medical treatment, eat nutrient-rich foods to boost immunity, and manage stress.",None specific,"Cancer treatment, Autoimmune","Regular Monitoring, Supportive Care"
Myocardial Infarction (Heart Attack),"Garlic, Ashwagandha",Garlic (2-3 cloves daily),Lifelong,"Follow heart-healthy diet, avoid processed foods, and incorporate cardio exercises.","Cardiac Rehabilitation, Regular Exercise","High-fat diet, Smoking, Stress","Healthy Lifestyle, Stress Management"
Nasal Polyps,None specific,Eucalyptus oil (2-3 drops in water),Lifelong,"Avoid allergens, use saline nasal sprays, and practice deep breathing exercises.",None specific,"Allergies, Sinus infections","Manage Allergies, Regular Monitoring"
Osteoporosis,"Ashwagandha, Guggulu",Ashwagandha (5g daily),Lifelong,"Include calcium-rich foods like dairy, engage in weight-bearing exercises, and avoid excessive alcohol.","Weight-Bearing Exercise, Balance Training","Aging, Sedentary lifestyle","Healthy Diet, Weight-Bearing Exercise"
Pancreatitis,None specific,Turmeric (1 tsp daily),Varies (days to months),"Avoid alcohol and fatty foods, increase water intake, and follow a digestive-friendly diet.",None specific,"Alcohol, Fatty diet","Healthy Diet, Avoid Alcohol"
Peptic Ulcers,None specific,Licorice root (2g daily),4-8 weeks,"Avoid spicy foods, consume soothing herbs like licorice, and manage stress levels.",None specific,"Stress, Spicy food, Smoking","Avoid Alcohol, Regular Meals"
Pneumonia,None specific,"Ginger (2g), Honey (1 tsp)",1-2 weeks,"Stay hydrated, consume warm fluids, and rest in an elevated position to ease breathing.",None specific,"Respiratory infections, Smoking","Regular Monitoring, Pneumococcal Vaccination"
Polycythemia Vera,None specific,Triphala (1 tsp at bedtime),Lifelong,"Maintain hydration, avoid iron-rich foods, and follow doctor’s treatment plan.",None specific,"Smoking, High altitudes","Regular Monitoring, Blood Thinning"
Post-Traumatic Stress Disorder (PTSD),None specific,Brahmi (2g daily),Lifelong,"Engage in mindfulness techniques, consume calming foods like chamomile, and seek therapy.",None specific,"Stressful events, Trauma","Regular Therapy, Stress Management"
Prostate Enlargement (Benign Prostatic Hyperplasia),None specific,Saw palmetto (2g daily),Lifelong,"Avoid caffeine, practice relaxation techniques, and eat a diet rich in antioxidants.",None specific,"Aging, Obesity, Family history","Regular Monitoring, Healthy Lifestyle"
Psoriatic Arthritis,"Ashwagandha, Turmeric",Turmeric (1 tsp daily),Lifelong,"Avoid cold weather exposure, consume anti-inflammatory foods, and engage in regular stretching.","Physical Therapy, Stress Management","Stress, Infection, Obesity","Regular Monitoring, Healthy Lifestyle"
Raynaud's Disease,None specific,"Ginger (2g), Honey (1 tsp)",Lifelong,"Avoid cold environments, wear warm clothing, and consume foods that improve circulation.",None specific,"Cold weather, Stress","Avoid Cold Exposure, Stress Management"
Rheumatoid Arthritis,"Ashwagandha, Turmeric",Ashwagandha (5g daily),Lifelong,"Engage in gentle exercise like yoga, avoid excessive rest, and include anti-inflammatory foods.","Physical Therapy, Regular Exercise","Stress, Family history","Regular Exercise, Stress Management"
Sciatica,None specific,Ashwagandha (5g daily),Weeks to Months,"Engage in gentle stretching exercises, avoid sitting for long periods, and sleep in a neutral position.","Physical Therapy, Stretching","Sedentary lifestyle, Heavy lifting","Posture Correction, Regular Movement"
Sinusitis,None specific,Eucalyptus oil (2-3 drops in water),Weeks to Months,"Stay hydrated, practice steam inhalation, and avoid allergens.",None specific,"Allergies, Respiratory infections","Regular Hydration, Avoid Triggers"
Skin Infections,"Aloe Vera, Tea Tree Oil","Neem leaves (5-6), Water (as needed)",Weeks to Months,"Apply neem paste, avoid harsh chemicals, and keep the skin clean and dry.",None specific,"Poor hygiene, Cuts, Allergies","Maintain Hygiene, Treat Wounds Promptly"
Sleep Apnea,None specific,Ashwagandha (5g daily),Lifelong,"Maintain a regular sleep schedule, sleep on your side, and avoid heavy meals before bedtime.","CPAP Therapy, Sleep Hygiene","Obesity, Smoking, Alcohol use","Regular Sleep, Healthy Weight"
Spinal Cord Injury,None specific,Ashwagandha (5g daily),Lifelong,"Focus on rehabilitation, maintain a nutritious diet to support nerve health, and practice gentle exercises.","Physical Therapy, Occupational Therapy","Trauma, Accident, High-risk activities","Rehabilitation, Assistive Devices"
Spondylosis,None specific,Turmeric (1 tsp daily),Lifelong,"Maintain a good posture, engage in back-strengthening exercises, and apply warm compresses.","Physical Therapy, Stretching","Aging, Sedentary lifestyle","Regular Exercise, Proper Posture"
Stomach Cancer,None specific,"Ginger (2g), Honey (1 tsp)",Months to Years,"Consume small, frequent meals, avoid processed foods, and follow cancer treatment guidelines.",None specific,"Smoking, Alcohol use, Poor diet","Early Detection, Healthy Lifestyle"
Strep Throat,None specific,"Honey (1 tsp), Lemon (1 tbsp)",Days to Weeks,"Stay hydrated, avoid irritants like smoke, and rest your voice.",None specific,"Poor hygiene, Close contact","Rest, Hydration, Medication Adherence"
Stress,"Ashwagandha, Brahmi",Ashwagandha (5g daily),Chronic or Intermittent,"Practice relaxation techniques like yoga and deep breathing, eat nutrient-dense foods, and engage in regular physical activity.","Relaxation Techniques, Yoga","Work, Personal life","Stress Management, Healthy Lifestyle"
Stroke,"Ashwagandha, Turmeric",Ginger (2g daily),Months to Years,"Engage in rehabilitation exercises, eat heart-healthy foods, and manage blood pressure.","Physical Therapy, Occupational Therapy","High blood pressure, Smoking, Diabetes","Early Intervention, Rehabilitation"
Systemic Lupus Erythematosus (SLE),"Ashwagandha, Turmeric",Turmeric (1 tsp daily),Lifelong,"Avoid sun exposure, maintain a balanced diet rich in antioxidants, and engage in regular exercise.","Stress Management, Regular Exercise","Stress, Sun exposure","Regular Monitoring, Avoid Sun Exposure"
Testicular Cancer,None specific,Turmeric (1 tsp daily),Months to Years,"Include antioxidant-rich foods, follow treatment protocols, and avoid exposure to toxins.",None specific,Family history of cancer,"Regular Self-Exams, Early Detection"
Thyroid Cancer,None specific,Ashwagandha (5g daily),Months to Years,"Consume thyroid-supportive foods, maintain a stress-free lifestyle, and follow medical guidance.",None specific,"Family history, Radiation exposure","Early Detection, Regular Monitoring"
Tinnitus,None specific,Brahmi (2g daily),Lifelong,"Avoid loud noises, consume anti-inflammatory foods, and practice relaxation techniques.","Sound Therapy, Relaxation Techniques","Noise exposure, Ear infections","Avoid Loud Noises, Relaxation Techniques"
Tuberculosis,None specific,Turmeric (1 tsp daily),Months to Years,"Follow medical treatment, avoid smoking, and consume nutrient-dense foods.",None specific,"Poor ventilation, Close contact","Regular Medication, Isolation"
Urinary Tract Infection (UTI),None specific,Cranberry (1 cup juice),Days to Weeks,"Drink plenty of fluids, avoid irritants like caffeine, and maintain hygiene.",None specific,"Poor hygiene, Dehydration","Hydration, Proper Hygiene"
Varicose Veins,None specific,Horse chestnut (1 tsp daily),Lifelong,"Avoid prolonged sitting or standing, elevate legs, and incorporate leg-strengthening exercises.",None specific,"Obesity, Prolonged standing","Regular Exercise, Elevation of Legs"
Viral Infections,None specific,Echinacea (2g daily),Days to Weeks,"Increase fluid intake, rest, and consume immune-boosting foods like garlic.",None specific,"Close contact, Poor hygiene","Vaccination, Supportive Care"
Whipple's Disease,None specific,Probiotic (1 capsule daily),Months to Years,"Follow a high-protein, nutrient-dense diet, avoid sugar, and follow medical advice.",None specific,"Poor nutrition, Bacterial infection","Regular Monitoring, Nutrition"
Wilson’s Disease,None specific,Zinc (50mg daily),Lifelong,"Avoid copper-rich foods, maintain a balanced diet, and follow treatment protocols.",None specific,"Poor diet, Genetic factors","Regular Monitoring, Low Copper Diet"
Worm Infections,None specific,Papaya seeds (1 tsp daily),Weeks to Months,"Maintain proper hygiene, eat fiber-rich foods, and consume anti-parasitic herbs.",None specific,"Poor sanitation, Contaminated water","Maintain Hygiene, Safe Water Sources"
Yeast Infections,None specific,Garlic (2-3 cloves daily),Days to Weeks,"Consume antifungal foods like garlic, avoid sugar, and maintain good hygiene.",None specific,"Poor hygiene, Diabetes, Antibiotic use","Proper Hygiene, Avoid Triggers"
Zika Virus,None specific,Echinacea (2g daily),Weeks to Months,"Avoid mosquito bites, stay hydrated, and maintain a nutrient-rich diet.",None specific,"Mosquito exposure, Travel history","Mosquito Control, Hydration"
Zoonotic Infections,None specific,Turmeric (1 tsp daily),Days to Months,"Avoid contact with infected animals, practice hygiene, and consume immune-boosting foods.",None specific,"Animal contact, Poor hygiene","Avoid Animal Contact, Good Hygiene"
Bell's Palsy,None specific,Vitamin B12 (1000mcg daily),Weeks to Months,"Manage stress, practice facial exercises, and consume nutrient-rich foods.","Facial Exercises, Stress Management","Stress, Cold weather, Viral infections","Early Intervention, Facial Exercises"
Bipolar Disorder,"Ashwagandha, Brahmi",Brahmi (2g daily),Lifelong,"Follow a routine, consume mood-stabilizing foods, and practice relaxation techniques.","Meditation, Regular Exercise","Stress, Lack of sleep, Substance abuse","Regular Therapy, Medication Adherence"
Crohn’s Disease,"Turmeric, Ashwagandha",Triphala (1 tsp daily),Lifelong,"Avoid processed foods, consume fiber-rich meals, and follow medical treatment plans.","Regular Exercise, Stress Management","Stress, Poor diet, Smoking","Regular Monitoring, Healthy Diet"
Cystic Fibrosis,None specific,Turmeric (1 tsp daily),Lifelong,"Consume high-calorie meals, follow a high-protein diet, and manage lung health.","Chest Physiotherapy, Regular Exercise","Poor air quality, Infection exposure","Regular Monitoring, Nutritional Support"
Dengue Fever,None specific,Papaya leaves (fresh juice),Days to Weeks,"Rest, stay hydrated, and avoid mosquito bites.",None specific,"Mosquito exposure, Poor hygiene","Mosquito Control, Hydration"
Diabetic Retinopathy,None specific,Amla (1 tsp daily),Lifelong,"Monitor blood sugar levels, consume antioxidants, and avoid processed sugar.",None specific,"High blood sugar, Poor diabetes management","Regular Monitoring, Blood Sugar Control"
Hodgkin’s Lymphoma,None specific,Ashwagandha (5g daily),Months to Years,"Follow prescribed medical treatments, maintain a nutritious diet, and manage stress.",None specific,"Weakened immune system, Viral infections","Early Detection, Regular Monitoring"
